Scientific Names,Common Names,Abbrav,Abbrav.Short
 Bos taurus , Cow , Btaurus,Bt
 Caenorhabditis elegans , Roundworm , Celegans,Ce
 Canis familiaris , Dog , Cfamiliaris,Cf
 Drosophila melanogaster , Fruitfly , Dmelanogaster,Dm
 Danio rerio , Zebrafish , Drerio,Dr
 Gallus gallus , Chicken , Ggallus,Gg
 Homo Sapiens , Human , Hsapiens,Hs
 Macaca mulatta , Rhesus macaque , Mmulatta,Mmu
 Mus musculus , House mouse , Mmusculus,Mm
 Pan troglodytes , Chimpanzee , Ptroglodytes,Pt
 Rattus norvegicus , Brown rat , Rnorvegicus,Rn
 Saccharomyces cerevisiae , Brewer, Scerevisiae,Sc
 Sus scrofa , Wild swine, Sscrofa,Ss
